identity,question,a,b,c,d,correct_ answer
hsc-physics-12-30,གསུམ་པ་ ཨང་རིམ་༦༠^{\circ},i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-physics-12-31,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,མར་ཕབ་འགྱོ་འོང་།,ཡར་སེང་འགྱོ་འོང་།,འདི་བཟུམ་སྦེ་ར་,དེ་ཚུ་དུས་རྒྱུན་གྱི་དོན་ལུ་ཨིན།,a
hsc-physics-12-32,གལ་སྲིད་དངོས་པོ་འདི་ མཐོ་ཚད་མི་ཊར་༣༥ལས་ བཀག་ཆ་མེད་པར་ མར་བབས་སོང་པ་ཅིན་ ས་གཞི་གུ་ལས་ མཐོ་ཚད་ག་དེམ་ཅིག་ལུ་ཡོད་པའི་ཤུགས་འདི་ དབྱེ་བ་ཕྱེ་ནིའི་ཤུགས་ལས་ ཤུགས་ལྡབ་སྟེ་འོང་ནི་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-physics-12-33,འཁོར་ལོའི་འཁོར་ལོའི་དཀྱིལ་འཁོར་དྭངས་མ་འདི་ ཚད་གཞི་ག་ཅི་ར་འབད་རུང་ ཚ་གྱང་ལང་དགོཔ་ཨིན།,ཡུན་རིང་གི་སྡུག་བསྔལ་,ཀྲིན་ཏཱན་ པིར་ཌཱན་,ས་སྒོ་ལུ་ གནོད་སྐྱོན་རྐྱབ་ཡོདཔ།,དཀའ་ངལ་སྦོམ་སྦེ་ར་ བྱུང་ནུག,b
hsc-physics-12-34,མེ་རླུང་གནས་ཚད་ T འདི་ མེ་རླུང་གནས་ཚད་ཀྱི་གནས་ཚད་ལུ་ཡོད་པའི་ མེ་རླུང་གནས་ཚད་ལུ་ཡོད་པའི་ མེ་རླུང་གནས་ཚད་ལུ་ཡོད་པའི་ མེ་རླུང་གནས་ཚད་ཀྱི་གནས་ཚད་ཨིན།,C=\frac{1}{K} ཚུ་དང་འཕྱདཔ་ད་,C=\frac{3}{2}KTལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,C=\sqrt{\frac{3KT}{m}} འདི་ཡང་ སྦ་སྒོར་ནང་ལུ་ཨིན་,\frac{C}{K}=1 ཨིན་པ་ཅིན་,a
hsc-physics-12-35,མེ་རླུང་རྒྱ་རྫི་ཅིག་གི་ རྡུལ་ཕྲན་ཚུ་གི་བར་སྟོང་གི་ཤུགས་ཚད་འདི་ གནམ་གཤིས་གནས་སྟངས་ཀྱི་ ཚད་གཞི་འདི་ཨིན།,མགུ་འཐོམ་ཤུགས་,རླུང་མ་ཤུགས་སྦེ་འཕུ་,འདོད་པའི་ཤུགས་,ལྡོག་ཕྱོགས་འགོ་ཁྲིདཔ་,c
hsc-physics-12-36,ས་སྒོ་འདི་ནང་ལུ་ ཆུ་སྨུག་གི་ལྗིད་ཚད་འདི་ བར་གཤོང་གི་རྒྱ་ཚད་རེ་ལུ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,མཐའ་མེད་པའི་,ལེགས་བཅོས་འབདཝ་ཨིན།,༠ ཨིན་པས།,ནུས་མེད་,c
hsc-physics-12-38,i. ཝེ་ཀཊར་རྐྱང་པ་,དངོས་པོའི་ལྗིད་ཚད་ལུ་བརྟེན་,ས་གཞི་གི་མཐའ་མཚམས་ལུ་,དངོས་པོ་གི་མཐའ་མཚམས་ལུ་,ས་གཞི་དང་ དངོས་པོ་ཚུ་གི་བར་ན་གི་ ས་ཐག་རིང་ཐུང་ལུ་བལྟ་བ་ཅིན་,b
hsc-physics-12-39,༢། ཕྲང་སྒྲིག་བེ་ཊར་,འདྲན་འདྲ་ཨིན།,ཕྱེད་ཀ་,ཐེངས་གཉིས་,༤་སྦེ་ཡར་སེང་འགྱོ་ནུག,c
hsc-physics-12-40,གསུམ་པ་ ས་སྒོ་གི་བེ་ཊར་,༠^{\circ} དེ་གི་དོན་ལུ་,༣༠^{\circ} འདི་ཡང་,༤༥^{\circ} འདི་ལུ་,༩༠^{\circ} འདི་ཡང་ 90^{\circ} འདི་ཡང་,a
hsc-physics-12-41,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,Young གི་གནས་གོང་,བརྩོན་འགྲུས་ཀྱི་རྟགས་མཚན་,མཐུན་རྐྱེན་ཚུ་,ས་སྒོ་གི་ཁྱབ་ཚད་,b
hsc-physics-12-42,ཟུར་གྱི་ཤུགས་ཚད་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,མགྱོགས་དྲགས་དང་མགྱོགས་དྲགས་གཉིས་ཆ་ར་ལུ་ མཐོ་ཤོས་འབད་དགོ,མགྱོགས་ཚད་མར་བབས་ སྣུམ་འཁོར་མགྱོགས་ཚད་མཐོ་ཤོས་,མགྱོགས་ཚད་དང་མགྱོགས་ཚད་གཉིས་ཆ་ར་ མར་ཕབ་འབདཝ་ཨིན།,མགྱོགས་ཚད་མཐོ་ཤོས་དང་ མགྱོགས་ཚད་དམའ་ཤོས་ཨིན།,d
hsc-physics-12-43,ཡུ་རོ་ནི་ཡཱན་དང་ ཐོ་རི་ཡཱན་ཚུ་ ག་བཟུམ་ཅིག་ལུ་འགྱུར་ཡོདཔ་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",c
hsc-physics-12-44,མེ་རླུང་རྒྱ་རྫི་ངོ་མ་གིས་ འབྱུང་འགྱུར་གྱི་ལམ་ལུགས་ཚུ་ལག་ལེན་འཐབ་དོ་ཡོདཔ་ཨིན།,༡༡.༦༧ m,15 m,20 m,༢༣.༣ m,a
hsc-physics-12-45,ལཱ་གི་གནས་གོང་འདི་ ནུས་མེད་སྦེ་འཐོན་ནི་ཨིན་པ་ཅིན་?,\frac{1}{4}Mr^{2}ལུ་ ཨེབ་གཏང་འབད།,\frac{1}{2}Mr^{2}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,\frac{3}{2}Mr^{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{2}{3}Mr^{2}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,a
hsc-physics-12-46,\vec{A}=\hat{i}+\hat{j}+\hat{k} དང་ \vec{B}=2\hat{i}+2\hat{j}+2\hat{k}ཨིན་པ་ཅིན་ \vec{B} ལུ་དར་ཁྱབ་ཚད་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,\frac{3}{2}RTལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{3}{2}KTལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{1}{3}RTལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,\frac{1}{3}KTལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,b
hsc-physics-12-47,མགྱོགས་དྲགས་སྦེ་འགྱོ་མི་ཅ་ཆས་ཀྱི་ མགྱོགས་ཚད་དེ་གཉིས་སྦེ་འགྱོ་བ་ཅིན་ མགྱོགས་ཤུགས་དེ་ཅིག་སྦེ་འགྱོ་འོང་།,ཚད་ལྡན་ཨིན།,ལཱ་གཡོག་གི་ཐད་ཁར་,རྩ་རིམ་གཉིས་དང་ཕྱདཔ་ད་,ཀྲུང་གོའི་རྩ་བ་གི་ བརྒྱ་རྩིས་,c
hsc-physics-12-48,རང་བཞིན་གྱི་རྡུལ་ཕྲན་འདི་ ནམ་ལོག་འགྱོ་དོ་ཡོདཔ་ཨིན་ན?,མེ་རླུང་གི་ཤུགས་ཚད་,ཚ་དྲོད་,རླུང་མ་འཕུ་ནི་,རླུང་མ་ཤུགས་སྦེ་འཕུ་,d
hsc-physics-12-49,འ་ནི་གྲལ་ལས་ ག་འདི་ Scalar ཟེར་མི་འདི་ཨིན་ན་?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-physics-12-50,ལྗིད་ཚད་ཀེ་ཇི་༥ འབད་མི་ཅ་ཆས་ཅིག་ འདྲུད་ཞིནམ་ལས་ དབྱེ་མཚམས་ཀྱི་རིང་ཚད་མི་ཊར་༥ ལུ་སྤོ་བ་ཅིན་ ལཱ་གི་གནས་གོང་དེ་ ག་དེ་ཅིག་འོང་ནི་སྨོ་?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-physics-12-51,ཝི་ཅཱཊ་གི་མཇུག་དང་ འགོ་བཙུགས་ས་གཉིས་ཆ་ར་གཅིག་སྦེ་ཡོད་པ་ཅིན་ འདི་ལུ་,kgm^{2}s^{-2} འདི་ཡང་ ཀི་ལོ་མི་ཊར་ ༢་ལུ་ཡར་འཕར་འགྱོཝ་ཨིན།,kgms^{-2} འདི་ཡང་,kgms^{-1} འདི་ཡང་,kgm^{2}s^{-1}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,d
hsc-physics-12-52,ག་སིལིན་ཌར་ནང་ལུ་ མེ་རླུང་རྒྱ་རྫི་འདི་ ༣༠^{\circ}Cལས་ ༡༠༠^{\circ}Cལུ་ཡར་འཕར་འགྱོ་ཚརཝ་ད་ བརྒྱ་ཆ་ག་དེ་ཅིག་ལུ་འཕར་འགྱོཝ་ཨིན་ན?,དུང་གི་དབང་ཤུགས་ལུ་བལྟ་བ་ཅིན་,གློག་མེའི་གློག་ཤུགས་,ནུས་ཤུགས་མེད་མི་ ནུས་ཤུགས་ཀྱི་གློག་ཤུགས་,ནུས་ཤུགས་ཅན་གྱི་ ནུས་ཤུགས་ཀྱི་གློག་ཤུགས་,c
hsc-physics-12-53,མེ་རླུང་རྒྱ་རྫི་ངོ་མ་གིས་ འབྱུང་འགྱུར་གྱི་ལམ་ལུགས་ཚུ་ལག་ལེན་འཐབ་དོ་ཡོདཔ་ཨིན།,མེ་རླུང་རྒྱ་རྫི་འདི་,ལྕང་ལཱ་གི་དྲོད་ཚད་ལུ་,ཚ་དྲོད་མར་བབས་འགྱོ་དོ་ཡོདཔ་ཨིན།,༠ གི་དྲོད་ཚད་ལུ་,a
hsc-physics-12-54,ལཱ་གི་གནས་གོང་འདི་ ནུས་མེད་སྦེ་འཐོན་ནི་ཨིན་པ་ཅིན་?,90^{\circ}<\theta \leq 180^{\circ}ལུ་ བསྒྱུར་གཏང་པ་ཅིན་,0\leq \theta <90^{\circ} འདི་ཡང་ ཕྲང་ཕྲང་ཨིན་,90^{\circ}>\theta \leq ༡༨༠^{\circ} འདི་ཡང་ བརྒྱ་ཆ་ ༩༠^{\circ} འདི་ཡང་ བརྒྱ་ཆ་ ༡༨༠^{\circ},0\geq \theta ^{\circ}<90^{\circ} འདི་ཡང་ སྦ་སྒོར་འདི་ནང་ལུ་,a
hsc-physics-12-55,\vec{A}=\hat{i}+\hat{j}+\hat{k} དང་ \vec{B}=2\hat{i}+2\hat{j}+2\hat{k}ཨིན་པ་ཅིན་ \vec{B} ལུ་དར་ཁྱབ་ཚད་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,1/\sqrt{3} དེ་ཚུ་,\sqrt{3} འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་,2\sqrt{3} དེ་ཚུ་,༢/\sqrt{3} དེ་ཚུ་,b
hsc-physics-12-56,མགྱོགས་དྲགས་སྦེ་འགྱོ་མི་ཅ་ཆས་ཀྱི་ མགྱོགས་ཚད་དེ་གཉིས་སྦེ་འགྱོ་བ་ཅིན་ མགྱོགས་ཤུགས་དེ་ཅིག་སྦེ་འགྱོ་འོང་།,ཕྱེད་ཀ་,འདྲན་འདྲ་ཨིན།,ཐེངས་གཉིས་,༤་སྦེ་ཡར་སེང་འགྱོ་ནུག,d
hsc-physics-12-57,རང་བཞིན་གྱི་རྡུལ་ཕྲན་འདི་ ནམ་ལོག་འགྱོ་དོ་ཡོདཔ་ཨིན་ན?,\frac{2\pi}{\omega } དུས་ཚོད་འ་ནེམ་ཅིག་ཁར་,\frac{\pi}{\omega } དུས་ཚོད་འ་ནེམ་ཅིག་ཁར་,\frac{\omega}{2\pi} དུས་ཚོད་འ་ནེམ་ཅིག་ཁར་,\frac{\omega}{\pi} དུས་ཚོད་འ་ནེམ་ཅིག་ཁར་,a
hsc-physics-12-58,འ་ནི་གྲལ་ལས་ ག་འདི་ Scalar ཟེར་མི་འདི་ཨིན་ན་?,སྐེད་པ་གི་ལྗིད་ཚད་,ལཱ་འབད་ཐངས་,མཚོན་ཤུགས་,ཟུར་གྱི་ཤུགས་,b
hsc-physics-12-59,ལྗིད་ཚད་ཀེ་ཇི་༥ འབད་མི་ཅ་ཆས་ཅིག་ འདྲུད་ཞིནམ་ལས་ དབྱེ་མཚམས་ཀྱི་རིང་ཚད་མི་ཊར་༥ ལུ་སྤོ་བ་ཅིན་ ལཱ་གི་གནས་གོང་དེ་ ག་དེ་ཅིག་འོང་ནི་སྨོ་?,0 J,༥་ ཇེ་,༢༥ J,༢༤༥ J,a
hsc-physics-12-60,ཝི་ཅཱཊ་གི་མཇུག་དང་ འགོ་བཙུགས་ས་གཉིས་ཆ་ར་གཅིག་སྦེ་ཡོད་པ་ཅིན་ འདི་ལུ་,ཝེ་ཀཊར་རྐྱང་པ་,བི་པི་རེཊི་བེ་ཊར་,ནེ་ལཱལ་ ཝེ་ཀཊར་,ས་སྒོ་གི་བེ་ཊར་,c
hsc-physics-12-61,ག་སིལིན་ཌར་ནང་ལུ་ མེ་རླུང་རྒྱ་རྫི་འདི་ ༣༠^{\circ}Cལས་ ༡༠༠^{\circ}Cལུ་ཡར་འཕར་འགྱོ་ཚརཝ་ད་ བརྒྱ་ཆ་ག་དེ་ཅིག་ལུ་འཕར་འགྱོཝ་ཨིན་ན?,19.01,23.1,28.02,70.01,b
hsc-physics-12-62,ཆུ་བླུག་ཡོད་པའི་རྫམ་ཅིག་ནང་ལུ་ ཆུ་དུམ་གྲ་ཅིག་བླུག་ཞིནམ་ལས་ ཕྲ་རིང་ r གི་མཐའ་འཁོར་ལུ་ དབྱུག་ཕྲ་རིང་སྦེ་འཁོར་གཏང་པ་ཅིན་ ཆུ་བླུག་ཡོད་པའི་རྫམ་འདི་ནང་ལས་ ཆུ་འཐོན་མི་འགྱོ་བ་ཅིན་ དབྱུག་ཕྲ་རིང་དེ་ག་དེམ་ཅིག་འགྱོ་ནི་སྨོ་,\sqrt{r/g} འདི་ཡང་ ཌའི་ལོག་གི་ས་སྒོ་འདི་ཨིན།,\sqrt{g/r} འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།,\sqrt{rg} འདི་ཡང་ ཌའི་ལོག་གི་ས་སྒོ་འདི་ཨིན།,rg,b
hsc-physics-12-63,མེ་རླུང་རྒྱ་རྫི་ནང་ལུ་ མེ་རླུང་རྒྱ་རྫི་མང་ཤོས་ཅིག་ཡོད་མི་འདི་ མེ་རླུང་རྒྱ་རྫི་གི་ཤུགས་འདི་ཨིན།,སྦྲེལ་མཐུད་མགྱོགས་ཚད་,གཞི་རྟེན་གྱི་བར་མཚམས་གྲུ་བཞི་གི་མགྱོགས་ཚད་,སྦྲགས་རིམ་གྲུ་བཞི་གི་མགྱོགས་ཚད་,མགྱོགས་ཤོས་འབད་ཚུགས་པའི་ཤུགས་ཚད་,d
hsc-physics-12-64,\vec{A}=5\hat{i} འདི་ཨིན་པ་ཅིན་ ཐད་ཀར་གྱི་གཞི་རྟེན་ ཝེ་ཀཊར་འདི་ ག་འདི་ཨིན་ན?,-5\hat{i} དེ་ནང་ལུ་,\frac{1}{5}i འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།,5\frac{1}{\hat{j}} འདི་ཡང་ སྦ་སྒོར་འདི་ནང་ལུ་ཨིན།,\frac{1}{5\hat{i}} འདི་ཡང་ ཌའི་ལོག་གི་ས་སྒོ་འདི་ཨིན།,b
hsc-physics-12-65,འ་ནི་ནང་ལས་ ག་འདི་ཤུགས་ཅན་ཨིན་ན?,"ཚད་གཞི་ M, མགྱོགས་ཚད་ 2V","ཚད་གཞི་ 2M, མགྱོགས་ཚད་ 3V","ཚད་གཞི་ M, མགྱོགས་ཚད་ 4V",ཚད་གཞི་ 3M དང་ མགྱོགས་ཚད་ 2V,b
