identity,question,a,b,c,d,correct_ answer
hsc-zoology-12-16,༢། རུས་ཚིགས་,spermatocytes མཆིན་པ་བུད་མི་བུད་མི་ spermatocytes མཆིན་པ་བུད་མི་བུད་མི་ spermatocytes མཆིན་པ་བུད་མི་བུད་མི་ spermatocytes མཆིན་པ་བུད་མི་བུད་མི་ spermatocytes,spermatocytes spermatocytes spermatocytes spermatocytes spermatocytes spermatocytes spermatocytes spermatocytes spermatocytes,ཝོ་སི་ཊི་ ཝོ་གོ་ནི་ཡ་ ཝོ་ཊི་ཌ་ ཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་ ཨོཝོ་སི་ཊི་,ཨའུ་གོ་ནི་ཡཱན་ (Uogonia) ཟེར་མི་འདི་ ཝོ་སི་ཊི་ (Woosite) ཟེར་མི་འདི་ ཝོཊི་ (Wooted) ཟེར་མི་འདི་ ཨོམ་ (egg) ཟེར་མི་འདི་ཨིན།,d
hsc-zoology-12-17,གསུམ་པ་ མའོ་ཕི་བིརི་ལཱིསི་,100%,75%,50%,25%,a
hsc-zoology-12-18,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,དབྱེ་བ་ཕྱེ་ནི་,ཕི་ཏ་ཀ་ར་མི་,སྐད་རྐྱབ་ནི་,བྱི་ཅུང་,b
hsc-zoology-12-19,ག་འདི་ Alveolus གི་རྩིག་པ་ནང་ལས་ཐོན་འགྱོཝ་ཨིན་ན?,ཀོ་རི་ན་ཇེན་འདི་,ཀོ་རི་ན་ཇེན་འདི་,ཨའི་རིཤི་གི་ ཚོས་གཞི་ཚུ་བཀབ་ནུག,ཀོ་རི་ན་ཡཱན་,a
hsc-zoology-12-20,ག་ལུ་སེམས་ཀྱི་ཤུགས་ཚད་འཛིན་པ་ཟེར་སླབ་ནི་ཨིན་ན?,འཁོར་ལམ་གཉིས་,དབུགས་གཏོང་ལེན་,འཁོར་ལམ་གཅིག་,སྒོ་ར་སྒོ་,c
hsc-zoology-12-21,གེ་ཟ་འཕུར་མི་གི་མགུ་ཏོ་གི་མཐའམ་དེ་ ག་ཅི་སྦེ་སླབ་ནི་ཨིན་ན?,AB དང་ O,བི་དང་ཨོ་,B དང་ AB,"A, AB, དང་ O འདི་ཚུ་ཨིན།",b
hsc-zoology-12-22,ཁྲག་དམར་གྱི་སྲོག་ཆགས་དེ་ ག་ཅི་ལུ་བརྟེན་ཡོདཔ་ཨིན་ན?,བཱོལ་-ཝར་-ཕཱལ་ཀརེམ་,ཕཱལ་ཀརེམ་-བཱོལ་-ཝར་,ལྗིད་ཚད་-ཕལ་ཀརེམ་-བཱོལ་,ཝར་བཱོལ་ ཕར་ཀརེམ་,a
hsc-zoology-12-23,Mantle Screen གིས་ ག་ཅི་གི་ལཱ་ལུ་ཕན་ཐོགས་ཡོདཔ་ཨིན་ན?,১:২৫,২৫:১,১:৭০০,৭০০:১,d
hsc-zoology-12-24,ཌོག་ཊར་ནེམ་དང་ ཁོ་གི་བཟའ་ཚང་གི་ ཨ་ལོ་ཚུ་ ཕོ་མོའི་ནད་གཞི་ཐོབ་མི་ བརྒྱ་ཆ་༥༠ དང་ ནད་གཞི་ཐོབ་མི་ བརྒྱ་ཆ་༥༠ འོང་སྲིད་ནི་ཨིན་མས།,ལི་པེཇ་,ལ་ཁེཊ་ཟེར,རེན་ནིན་,ཨི་སོ་མཱལ་ཊེཇ་,c
hsc-zoology-12-25,,ཨེ་ལི་ཡམ་,ཇེ་ཇུན་མ,སི་ཀིམ་,ཌི་ཨོ་ཌེ་ནེམ་,a
hsc-zoology-12-26,ཨ་ལོ་ཚུ་གིས་ སྐུལ་བསྒྲགས་ཀྱི་འོད་ཟེར་ལུ་བལྟ་བ་ཅིན་ འདི་བཟུམ་ག་ལུ་འགྱུར་འོང་ནི་སྨོ་,ཀོ་ལི་སི་ཊེ་ཀ་ནིནིན་,ཧིས་ཏམ་མིན་,ཧེ་པ་རཱིན་,ཨེན་ཊོ་ཀའི་ནིན་,c
hsc-zoology-12-27,ནང་ན་ཆུང་ཀུ་འདི་ ག་འདི་སྨོ་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-zoology-12-29,i. རྡོག་མ་,སའི་ནོ་ ཨའི་ཊི་རི་ཨལ་ ནོཌ (Sino Atrial Node),པཱར་ཀིན་ཇི་གི་སྐུད་པ་,atrioventricular node འདི་ཡང་ ཨ་ཊི་རི་ཡུ་བཱེན་ཊི་ཀུ་ལར་ནོཌ་ཨིན།,ཁོ་གི་བཅའ་ཡིག་,a
hsc-zoology-12-30,༢། ཨ་ནཱེ་ལི་ཌ་,ཀིལཔ་ཡཱསི་,ཕེརེནསི་,ཇེ་ན་,ཝེར་ཊེག་སི་,b
hsc-zoology-12-31,གསུམ་པ་ ཨར་ཏོ་པོ་ཌ་,ཀེ་ཏོ་ཨསིཌ་,མཆིན་པ་ལུ་ ཕོལི་ཀཨེ་སིཌ་,ལེག་ཊིག་ཨེ་སིཌ་,ཨ་མཱི་ནོ་ཨསིཌ་,b
hsc-zoology-12-32,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,དབུགས་གཏོང་ལེན་,ལག་ལེན་འཐབ་ཐངས་,སྐྱེལ་འདྲེན་,ལེགས་བཅོས་འབད་ཚར་ནུག,a
hsc-zoology-12-33,མཆིན་པ་ལུ་གནོད་པའི་ནདཔ་ཚུ་ལུ་ ནད་གཞི་ག་ཅི་ཡོདཔ་ཨིན་ན?,ཨ་པ་ལུ་ ནད་འབུབ་ཐོབ་སྟེ་ ཨ་མ་ལུ་ ནད་གཞི་མེདཔ་ཨིན་པས།,ཨ་པ་ལུ་ ནད་གཞི་མེད་རུང་ ཨའི་ལུ་ ནད་གཞི་ཐོབ་སྟེ་འདུག,-ཨ་པ་ལུ་ནད་འབུབ་ཐོབ་སྟེ་ ཨ་མ་ལུ་ནད་འབུབ་ཐོབ་སྟེ་འདུག,ཕམ་གཉིས་ཆ་ར་ལུ་ ནད་འབུབ་ཐོབ་ཡོདཔ་ཨིན།,c
hsc-zoology-12-34,རུ་ཡི་ཉ་གིས་ སི་འུ་ཌོ་བཱེན་ཀ་ལུ་ མཐུད་སྦྲེལ་འབད་ཡོད་པའི་ཁྲག་དེ་ ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,པི་ལོ་རཱསི་,ཌི་ཨོ་ཌེ་ནེམ་,ཇེ་ཇུན་མ,ཨེ་ལི་ཡམ་,b
hsc-zoology-12-35,འགོ་བཙུགས་ཀྱི་དུས་ལུ་ ཌོ་ཝིན་གྱི་ཆོས་ལུགས་ཀྱི་ ཉམས་སྐྱོན་ཚུ་ ག་གིས་བཏོན་ཡོདཔ་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii,དང་ iii",d
hsc-zoology-12-36,AVN འདི་ནང་ལུ་ བརྟག་དཔྱད་འབད་ནིའི་དུས་ཡུན་འདི་ དུས་ཡུན་སྐར་མ་ག་དེ་ཅིག་ལུ་ གནས་ནི་ཨིན་ན?,ལི་པོརཊི་ནེཊི་,ཕོསི་ཕོརཊི་བོཊི་,མུ་ཀོབ་རོཊི་ནེཊི་,ཕེ་བོརཊི་ནེཊི་,c
hsc-zoology-12-37,རུ་ཝང་ཉ་གི་ཕོཝ་ནང་ ཕྱོགས་རེ་ལུ་ མེ་ཏོག་གི་སྒྲོམ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii,དང་ iii",b
hsc-zoology-12-38,ཁྲག་དཀར་གྱི་སྲོག་ཆགས་ཀྱི་རིགས་འདི་ ག་བཟུམ་ཅིག་ཡོདཔ་ཨིན་ན?,དར་ཚིལ་དཀརཔོ་,པི་ཏ་ ཏན་ཏུ་མཱའི་,ཀ་ལསི་ཕིཌ་,འཕྲོ་མཐུད་འབད་,a
hsc-zoology-12-39,དབུགས་འགུགས་ཀྱི་རིམ་ལུགས་འདི་ ཇི་ཨར་བི་ཡཱན་ (GERD) ཟེར་མི་གིས་ བཀག་འཛིན་འབད་དོ་ཡོདཔ་ཨིན།,ཨང་གྲངས་ཚུ་,ཀ་ར་ལ་,ཀ་ར་ཏོ་ཊིཌ་,མིག་ཏོ་གི་ནད་,d
hsc-zoology-12-40,Intercalated disc ཟེར་མི་ སྦྲགས་སྦྲགས་རྒྱབ་ཚིགས་འདི་ནང་ལུ་ སྦྲགས་སྦྲགས་རྒྱབ་ཚིགས་འདི་ ག་ཅི་སྦེ་ལག་ལེན་འཐབ་ནི་ཨིན་ན?,ཏ་ཧྲཱིཤ་ ཧཱུཀ་སི་ལི་,སེཔཱེན་སཱར་གི་ཇོ་བདག་,ཝི་ཛམཱན་,ཨེབ། ཧེ་ཀེལ་,c
hsc-zoology-12-41,Grasshopper གིས་ ཕོ་དང་བུམོ་ག་བཟུམ་དབྱེ་བ་ཕྱེ་ནི་ཨིན་ན?,0.3,0.03,0.09,0.16,c
hsc-zoology-12-42,ཁྲག་ཤུགས་ཀྱི་དཀའ་ངལ་འདི་ སེམས་ཁམས་ཀྱི་ནད་གཞི་འདི་ ག་ཅི་ལུ་བརྟེན་ཏེ་ཨིན་ན?,2,3,4,5,d
hsc-zoology-12-44,i. TT,ཨ་བཱུ་ཌུ་སེན་,ཨི་ལི་ཡ་ཀ,བཟོ་སྐྲུན་ཁང་,ཝི་གཱསི་,d
hsc-zoology-12-45,༢། Tt,སེམས་ཤུགས་ཉམས་འགྱོ་ནིའི་ཉེན་ཁ་ཡོད།,སྦྲེལ་མཐུད་དེ་འགྱོ་མི་འདི་ རང་བཞིན་གྱིས་རང་ བྱུང་ནུག,ཡན་ལག་མེད་པའི་,ནིའུ་ཀིའུ་ལི་ཡཱསི་ལེ་ཤ་ཡོདཔ་ཨིན།,b
hsc-zoology-12-46,iii. tt,XX-XY,XX-XO,ZZ-ZW,ZZ-ZO,b
hsc-zoology-12-47,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,ནད་གཞི་དེ་གི་ ནད་གཞི་དེ་ ཨེན་ཇེ་ནཱན་ (angina) ཨིན།,སྙིང་སྟོབས་ཉམས་འགྱོ་ནི་,སེམས་ཀྱི་ནད་གཞི་,ནད་གཞི་སོ་བཏབ་ནི་,a
hsc-zoology-12-48,དབྱེ་བ་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii,དང་ iii",a
hsc-zoology-12-49,སཱག་ཀི་ལཱལ་འདི་ མིག་ཏོ་ལེགས་ཤོམ་ཡོད་མི་འདི་ཨིན། དེ་འབདཝ་ད་ ཁོ་གི་བུ་གཅིག་འདི་ མིག་ཏོ་ཞར་མི་ཨིན་མས། (ཚོས་གཞི་མིག་ཏོ་ཞར་མི་འདི་ X^{c} དང་ སྤྱིར་བཏང་འདི་ X^{t}),མིག་ཏོ་,མགུ་ཏོ་,རྣ་བ་,ལྕོག་གུ་,c
hsc-zoology-12-50,,ཐང་སྟོང་ཚུ་,རྒྱང་རིང་,ཧུམ་མར་སི་,མེ་ཏོག་,d
hsc-zoology-12-51,ཨ་ལོ་གི་ ཇེ་ནོཊི་བིཊི་ག་འོང་ནི་ཨིན་ན?,i,ii,གསུམ་པ་,i དང་ ii,a
hsc-zoology-12-52,སཱག་ཀི་ལཱལ་འདི་ མིག་ཏོ་ལེགས་ཤོམ་ཡོད་མི་འདི་ཨིན། དེ་འབདཝ་ད་ ཁོ་གི་བུ་འདི་ མིག་ཏོ་ཞར་མི་ཅིག་ཨིན་མས། (ཚོས་གཞི་མིག་ཏོ་ཞར་བའི་རྒྱུ་མཚན་ཨིན་མི་ X^{c} དང་ རང་བཞིན་གྱི་རྒྱུ་མཚན་ཨིན་མི་ X^{t}),২:১,৩:১,১:২:১,৯:৩:৩:১,d
hsc-zoology-12-53,,X^{t} X^{t} འདི་ཨིན་མེན་ན།,X^{t} X^{c} འདི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་ ཀྲོང་གསར་ལུ་ཨིན།,X^{t} Y གི་གནས་གོང་ཨིན།,X^{c} Y གི་གནས་གོང་ཨིན།,d
hsc-zoology-12-54,ཤ་ཀིལ་ཇོ་བདག་གི་ཨམ་སྲུ་དེ་ ཇི་ནོ་ཊི་བཱལ་ཨིནམ་འོང་ནི་ཨིན་མས།,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii,དང་ iii",c
hsc-zoology-12-55,i. X^{t} X^{t} འདི་ཨིན་མེན་ན།,Osteichthyes,ས་ཁ་ལས་ཕར་སྡོད་མི་ཚུ་,Reptilia,ཨེ་ཝེསི་,d
hsc-zoology-12-56,༢། X^{t} X^{c} འདི་ ཀེར་ཐིག་གི་རྩ་བ་ལས་ཨིན།,ཨཱར་ཀི་ཨོ་ཟོ་ཀི,པོརཊ་ཇོ་ཨིག་,Mesozoic གི་དུས་ལུ་,པེ་ལོཇོ་ཨིག་,c
hsc-zoology-12-57,གསུམ་པ་ X^{c} འདི་ X^{c} ཨིན།,ལཱམ་རེཀ་གི་ཆོས་ལུགས་,དར་ཝིན་ཆོས་ལུགས་,ནེ་ཨོ་ལེ་མཱར་ཀིསི་མི།,མི་སྒེར་སེམས་བསྐྱེད་ནི་,b
hsc-zoology-12-58,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,Cnidaria,Platyhelminthes,ནེ་མཱལ་ཌ་,རྡོག་མ་,b
hsc-zoology-12-59,Archaneopteryx གིས་ རིགས་ཚན་འདི་ ག་དེ་སྦེ་ བཟོ་ཡོདཔ་ཨིན་ན?,ཕྲ་ཏིག་གི་ཚིགས་ཏོ་,རུས་ཚིགས་ཀྱི་ཚིགས་ཚིགས་,སེམས་ཀྱི་ཚིགས་ཚིགས་ཚུ་,གདམ་ཁ་ཅན་གྱི་ སྦྱངམ་,c
hsc-zoology-12-60,རི་དྭགས་སེམས་ཅན་ཚུ་གི་དུས་སྐབས་ཟེར་མི་འདི་ ལོ་རྒྱུས་ག་ལུ་སླབ་ནི་ཡོད།,ཧའི་ཌར་,Taemia,Fasciola,Hiraudo,a
hsc-zoology-12-61,རང་བཞིན་གྱི་གདམ་ཁ་གི་ལྟ་བ་ཟེར་མི་འདི་ ག་ཅི་ཨིནམ་སྨོ་,Astopecten,ཨེས་སི་ཌི་ཡ་,Ptromyzon,Scoliodon,b
hsc-zoology-12-62,མེ་གིས་འཚིག་མི་སྲོག་ཆགས་འདི་ རིམ་པ་ག་ལུ་འགྱོཝ་ཨིན་ན?,ཟས་བཅུད་ཀྱི་སྲོག་ཆགས་ཚུ།,ནིཝོ་སི་ཊི་,མཐུན་རྐྱེན་ཚུ་,ཁམས་ཕྲན་འདི་ནང་ལུ་,b
hsc-zoology-12-63,ཌིསི་ཀེལ་ཊི་འདི་ ཤ་ཁྲག་ག་ཏེ་ལས་ཐོབ་ཡོདཔ་ཨིན་ན?,གཟུགས་ཀྱི་མཐའ་མ་དེ་ སྐྱེ་བའི་མཐའ་མ་ལས་ཐོན་ནུག,Gastrodermicའདི་ སྐྱེ་བུ་གི་པགས་ཚལ་ནང་ལས་ཐོན་ནུག,Silenteronའདི་ Gastrodermisགིས་བཀབ་སྟེ་ཡོདཔ་ཨིན།,silenteron འདི་ནང་ silomic fluid ཅིག་གིས་གང་སྟེ་ཡོདཔ་ཨིན།,c
hsc-zoology-12-64,འོག་གི་སྲོག་ཆགས་གཉིས་ཆ་ར་ལས་ ག་འདི་དྲག་ཤོས་ཨིན་ན?,2,3,4,5,b
hsc-zoology-12-65,སྲོག་ཆགས་ག་འདི་ ཀར་ཌེཊ་ཨིན་རུང་ རྒྱབ་ཚིགས་མེདཔ་ཨིན་ན?,ཨོ་སི་ཡ་,སོཔ་རཱཀཱལ་,ཨོསི་ལི་,ཨོ་མཱད་ཊི་ཌི་ཡཱམ,d
hsc-zoology-12-66,hypnotoxin འདི་ ནང་ག་ཏེ་ཡོདཔ་ཨིན་ན?,སཱཊོ་ཀི་ལོཌ་,ཊི་ནོ་ཌ་,པཱལ་ཀའུཌ་,གཱ་ནོ་ཌ་,a
hsc-zoology-12-67,འ་ནི་གྲལ་ལས་ ག་འདི་བདེན་པ་ཨིན་ན?,glycogenesis ཟེར་མི་འདི་ཨིན།,གཱ་ལི་ཀོ་ལའི་སི་,glycogenolysis ཟེར་མི་འདི་ཨིན།,གེལའུ་ཀོནི་ཨོ་ཇི་ནེས་སི་,a
hsc-zoology-12-68,གཟུགས་འདི་ག་དེ་ཅིག་ལུ་ དབྱེ་བ་ཕྱེ་སྟེ་ཡོདཔ་ཨིན་ན?,ཐའི་ལིན་,པེཔསི་བིན་,ཏིརི་པསི་བཱིན་,ལི་པེཇ་,a
hsc-zoology-12-69,ལྡེ་མིག་འདི་ག་ཏེ་ཡོདཔ་ཨིན་ན?,ནིའརོན,ནེཕ་རོན,ཨཱལ་ཝེ་ལཱསི་,བཱོན་ཀི་ཨོལ་,c
hsc-zoology-12-70,རུ་ཡི་ཉ་གི་བལ་གྱི་མིང་ག་ཅི་ཡོདཔ་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii,དང་ iii",d
hsc-zoology-12-71,ལྕུག་གུ་གུ་གུ་དུག་ཚིགས་འདི་ ག་བཟུམ་ཅིག་ཡོདཔ་ཨིན་ན?,ཨེ,བི་,ཨོ་,ཨེབ,c
hsc-zoology-12-72,སྣུམ་འཁོར་ནང་ སྣུམ་འཁོར་མ་ཤོང་པའི་ཧེ་མ་ སྣུམ་འཁོར་ནང་ སྣུམ་འཁོར་མ་ཤོང་པའི་ཧེ་མ་ སྣུམ་འཁོར་ནང་ སྣུམ་འཁོར་མ་ཤོང་པའི་ཧེ་མ་ སྣུམ་འཁོར་ནང་ སྣུམ་འཁོར་ནང་ སྣུམ་འཁོར་མ་ཤོང་པའི་ཧེ་མ་ སྣུམ་འཁོར་ནང་ སྣུམ་འཁོར་ནང་ སྣུམ་འཁོར་ནང་ སྣུམ་འཁོར་ནང་ སྣུམ་འཁོར་ནང་ སྣུམ་འཁོར་ནང་,4,5,6,7,b
hsc-zoology-12-73,འ་ནི་གྲལ་ལས་ ག་འདི་ཕོཝ་གི་ཡན་ལག་ཅིག་ཨིན།,ཝེཇ་མཱན་,དར་ཝིན་,ཧཱཀ་སི་ལའི་ནང་ལུ་,ལར་མཱག་,a
hsc-zoology-12-74,འ་ནི་ལས་ཀ་འདི་གིས་ གཟུགས་ཁམས་འཕྲོད་བསྟེན་ལུ་ གནོད་སྐྱོན་རྐྱབ་ནི་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii,དང་ iii",a
hsc-zoology-12-75,i. ཟུར་སྒྲོམ་,སེམས་ཀྱི་ནང་ན་,སེམས་ཁམས་ལུ་,མཆིན་པའི་ནད་གཞི་,དབུགས་འགམ་ནི་,d
hsc-zoology-12-76,༢། སྐེདཔ་གི་ཚིགས་ཀྱི་ཚིགས་ཚུ་བསྡམས་ནི་,ནེ་མཏོ་ཌ་,ཨ་ནི་ལིཌ་,མཱལ་སག་,ཚལ་ལྤགས་ཅན་གྱི་སྲོག་ཆགས་,c
hsc-zoology-12-77,གསུམ་པ་ མཆིན་པའི་མཐའ་འཁོར་གྱི་ས་སྒོ་འདི་ ཡར་འཕར་འགྱོ་དོ་ཡོདཔ་ཨིན།,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii,དང་ iii",c
hsc-zoology-12-78,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,སྦལཔ་,བྱ་ཚུ་,བྱི་ཅུང་,ཉ་རྒོད་,d
hsc-zoology-12-79,ཁྲག་གི་རིགས་ག་ལུ་ འབག་མི་ཅིག་ལུ་ ཡོངས་འབྲེལ་གྲོགས་རམ་འབད་བའི་ མིང་བཏགས་ཡོདཔ་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii,དང་ iii",b
hsc-zoology-12-80,མི་གི་ཚིགས་ཏོ་གུ་གི་ཚིགས་ཏོ་གི་གྱངས་ཁ་འདི་ ...,ཀ་ན་ཀུ་ཡ་ལུ་,ཕད་ཙེ་ནང་,ཕྱོགས་ཐིག་ཚུ་,ཕྲ་རིང་གི་ཕྲ་རིང་འདི་ ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་ནང་ལུ་,c
hsc-zoology-12-81,མཆིན་པའི་སྲོག་ཆགས་ཀྱི་རྣམ་གཞག་འདི་ འགོ་འབྱེད་འབད་ཡོདཔ་ཨིན།,པེཔསི་བཱེན་ རེན་ནིན་ མུ་སིན་,ལི་པེཇ་ལུ་སྡོད་མི་ རེན་ནིན་དང་ ཏིརི་པེཇ་,Pepsin དང་ Tripsin དེ་ལས་ Leipzig,པེ་པཱསི་བཱེན་དང་ ཏིརི་པཱསི་བཱེན་ དེ་ལས་ རེན་བཱེན་,a
hsc-zoology-12-83,i. ཨར་ཡཱན་འདྲ་བཤུས་,གཱུལ་ཀ་གཱོན་,གེ་ཟ་ནང་ལུ་,ཏིརི་པསི་བཱིན་,ཨིན་སུ་ལིན་,a
hsc-zoology-12-84,༢། ཀོ་ཝན་སིཊ་འདི་,ཨ་ལིན་ཌར་གི་ཁུག་ཁུག,ཨཱ་ལིན་ཌར་གི་ས་སྒོ་འདི་,ནེ་ལའི་གི་ཁུག་ཁུག,ནེ་ལའི་གི་ཨའི་ཏཱོལ་,b
hsc-zoology-12-85,གསུམ་པ་ སཱེ་ལཱེན་ཊེ་རོན,ཨ་རི་ཏི་མི་ཡ་,ཀོ་རོ་ནའི་ནདཔ་གི་ཁྲག་འཛག་ནི་,སེམས་ཁམས་ཀྱི་ནད་གཞི་,Angina pectoris གི་ནད་གཞི་འདི་ དྲག་མ་ཚུགས་པའི་ནད་གཞི་ཅིག་ཨིན།,b
